timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to
33001.0,1,1.3705,120.0,1.5702,642,0,159,3.1487,1.6016,2.7109,10,-8.875,254.3335,1.1153,128.4,-142,7.1803,0,0,15.2804,2.4927,0.3606,36.0691,13.1666,32,8,38,596,30,320,0.6406,2.8125,1.8125,-1.6602,,89.7656,2.1719,18.0781,18.5781,343.75,546.936,,0.7851,-25.0625,10.5938,81.7969
34001.0,2,1.3667,119.403,1.5702,636,0,158,3.5625,1.1172,3.3828,10,-11.5313,365.9058,1.1604,126.5672,-134,6.4009,0,0,15.4245,2.4814,0.3447,35.6921,12.9863,47,8,40,588,20,321,1.7031,1.6875,1.4375,-1.6602,,80.8906,5.8438,14.1094,18.0781,422.7905,553.4058,,0.7851,-17.75,8.8125,76.6094
35006.0,3,1.359,115.8301,1.5702,660,0,158,2.6041,1.2344,2.293,11,-8.1875,193.4204,1.1394,127.4131,-142,7.1803,0,0,14.8636,2.479,0.2659,32.7558,11.5822,14,2,40,618,24,326,1.2656,0.3125,1.75,-1.6602,,82.1094,3.9219,11.9531,14.9063,315.3076,505.0659,,0.7851,-24.6875,7.4531,77.7188
36042.0,4,1.3475,115.4957,1.5702,669,0,157,2.938,1.2305,2.668,13,-5.6563,216.7969,1.1061,128.7777,-150,8.0019,0,0,14.6637,2.4599,0.2617,32.355,11.3905,7,8,20,641,28,320,0.7305,1.375,1.375,-1.6602,,87.6875,2.3906,16.9531,17.6563,325.7446,539.4897,,0.7851,-28.5938,3.2969,80.7656
37081.0,5,1.3513,120.4819,1.5702,636,0,157,2.4447,1.5547,1.8867,10,-9.1719,251.5259,1.1321,127.7108,-138,6.7853,0,0,15.4245,2.4496,0.3627,36.1048,13.1837,44,2,44,590,28,316,1.2734,2.25,0.9375,-1.6602,,84.7656,3.2656,14.9375,17.0625,337.8906,535.5225,,0.7851,-21.6094,10.6875,76.7969
38077.0,6,1.3552,120.1201,1.5702,640,0,157,3.1068,1.2773,2.832,10,-10.0625,219.2383,1.1219,128.1281,-141,7.0805,0,0,15.3281,2.4597,0.3607,35.9871,13.1274,47,8,40,592,23,314,1.8086,2.3125,1.4375,-1.6602,,80.5469,5.4844,14.9375,18.6875,346.3745,521.2402,,0.7851,-16.9531,10.3438,75.8906
39076.0,7,1.359,119.5219,1.5702,630,0,157,4.053,1.8438,3.6094,10,-6.8125,189.209,1.1873,125.498,-128,5.8446,0,0,15.5714,2.4622,0.3392,35.5966,12.9406,52,10,38,582,24,318,0.8789,3.0,1.0,-1.6602,,81.0156,1.7969,14.5469,12.1875,336.731,556.7627,,0.7851,-24.3281,10.7031,76.6406
40080.0,8,1.551,118.6944,1.5702,642,0,180,3.4106,1.9063,2.8281,11,-10.0156,277.4658,1.1495,127.003,-137,6.6882,0,0,15.2804,2.8817,0.38,38.2077,14.1893,41,6,42,594,23,318,1.0039,0.75,1.0,-1.6602,,79.2969,5.375,13.9688,18.6406,363.4033,505.9814,,0.7851,-18.5781,7.9531,75.1563
41091.0,9,1.551,120.4819,1.5702,632,0,180,2.5649,0.4805,2.5195,9,-8.2656,174.2554,1.1519,126.9076,-134,6.4009,0,0,15.5222,2.8728,0.418,39.5547,14.8334,48,6,48,578,22,322,0.5703,1.0,1.5625,-1.6602,,79.3125,1.7031,16.7188,16.8438,314.209,520.2026,,0.7851,-18.5625,12.9531,74.1094
42087.0,10,1.5587,123.5839,1.5702,608,0,181,3.6137,2.0938,2.9453,9,-5.4844,106.1401,1.1941,125.2317,-123,5.3997,83.7585,0,16.1349,2.8691,0.4844,42.1445,16.0718,77,12,34,562,23,316,1.0781,4.0,0.8125,-1.6602,,80.4219,1.375,14.8906,14.7031,324.0967,528.0762,,0.7851,-19.1406,12.3125,76.4844
