timestamp,step,stride_pace,step_rate,stride_length,contact_time,flight_ratio,power,shock,impact_gs,braking_gs,footstrike_type,pronation_excursion_fs_mp,max_pronation_velocity,grf_vert_peak,contact_ratio,flight_time,stride_angle,kleg,kvert,grf_vert,grf_horiz,swing_force_rate,total_force_rate,vo2,time_max_fs,time_fs_mpv,time_mpv_mp,time_mp_to,time_to_min,time_swing,medial_lateral_gs,braking_gs_amp,impact_gs_amp,vertical_speed,elevation_gain,swing_excursion,yaw_excursion_fs_mp,yaw_excursion_mp_to,yaw_excursion_swing,stance_velocity_max_fs_mp,stance_velocity_max_mp_to,temperature,step_length,pronation_excursion_mp_to,stance_excursion_fs_mp,stance_excursion_mp_to
0.0,1,1.4025,117.8782,1.625,640,0,203,1.3974,1.2188,0.6836,8,-9.0938,205.3833,1.1813,125.7367,-131,5.9147,0,0,15.3281,2.5586,0.3167,35.0647,12.6863,24,6,44,590,20,340,0.3828,1.875,0.375,0.0,,77.8281,0.1563,3.3438,2.5781,359.5581,535.4614,,0.8125,-14.375,13.8438,72.9219
1018.0,2,1.4065,120.9677,1.625,622,0,203,3.0685,1.6641,2.5781,6,-12.8281,272.8271,1.1897,125.4032,-126,5.4746,0,0,15.7717,2.556,0.381,37.4267,13.8158,52,16,60,546,20,330,0.4336,3.5625,1.75,0.0,,72.5313,0.2813,2.1875,5.8125,371.7041,572.3267,,0.8125,-12.1875,19.8594,67.5156
2010.0,3,1.3985,116.9591,1.625,656,0,203,3.2213,2.1328,2.4141,9,-7.0313,221.8018,1.128,127.8752,-143,7.0374,0,0,14.9543,2.5603,0.3011,34.2285,12.2864,22,28,20,608,20,326,2.0039,4.125,1.3125,0.0,,81.1406,4.0469,3.0313,9.875,372.8638,548.584,,0.8125,-9.5313,12.1406,76.5313
3036.0,4,1.3946,119.0476,1.625,642,0,202,2.8132,1.4766,2.3945,9,-9.8438,249.3896,1.1402,127.381,-138,6.5583,0,0,15.2804,2.5431,0.3444,35.7836,13.03,38,16,34,592,20,324,0.9414,3.125,1.4375,0.0,,81.0313,0.0781,3.7969,7.5469,371.0938,540.4053,,0.8125,-12.7813,12.8281,77.0313
4044.0,5,1.3946,117.4168,1.625,654,0,202,3.1708,2.1484,2.332,9,-7.0625,216.3086,1.1254,127.9843,-143,7.0374,0,0,15.0,2.5505,0.3107,34.5228,12.4271,28,26,24,604,20,322,0.2813,3.75,1.3125,0.0,,79.8125,2.2188,3.3281,7.0469,338.8062,544.0674,,0.8125,-7.6875,12.7188,76.2656
5066.0,6,1.4025,120.3611,1.625,636,0,203,3.2506,2.0,2.5625,6,-11.4688,233.8867,1.1352,127.5827,-138,6.5583,0,0,15.4245,2.5562,0.3775,36.973,13.5988,51,25,55,556,20,317,0.6914,3.5625,1.3125,0.0,,73.7969,2.9375,0.2656,6.0938,366.8213,572.8149,,0.8125,-9.6719,20.9531,69.2813
6063.0,7,1.4065,118.1102,1.625,648,0,203,3.4804,2.1875,2.707,6,-11.2813,221.6187,1.1358,127.5591,-140,6.748,0,0,15.1389,2.572,0.3278,35.2599,12.7796,30,16,60,572,20,326,0.7813,3.125,1.8125,0.0,,74.1875,2.0313,2.9375,6.7031,385.0708,542.9077,,0.8125,-10.8594,19.0938,70.3281
7079.0,8,1.6091,120.4819,1.625,634,0,233,3.1767,1.6875,2.6914,6,-11.1719,205.6274,1.142,127.3092,-136,6.3711,367.3943,0,15.4732,3.0048,0.4368,40.5956,15.3311,50,28,56,550,20,320,0.5313,3.25,1.125,0.0,,73.3125,2.3438,1.2188,5.375,344.1162,565.979,,0.8125,-12.2969,21.2031,69.6719
8075.0,9,1.6131,120.4819,1.625,634,0,233,2.9831,1.2617,2.7031,6,-13.5625,265.564,1.142,127.3092,-136,6.3711,255.7439,0,15.4732,3.0138,0.438,40.6672,15.3654,48,18,62,554,20,322,0.6797,2.375,1.0625,0.0,,76.7344,1.0469,0.5,3.8438,372.6807,602.7832,,0.8125,-6.75,20.8125,72.3594
9071.0,10,1.6131,122.1996,1.625,614,0,233,3.6157,2.6563,2.4531,6,-12.125,254.7607,1.1987,125.0509,-123,5.2184,34.9708,0,15.9772,2.9939,0.4685,42.009,16.007,66,6,64,544,20,324,0.4414,3.375,1.0625,0.0,,73.6094,1.9531,1.0781,7.8281,399.9634,597.0459,,0.8125,-7.2969,18.7813,68.4375
10053.0,11,1.621,121.2121,1.625,622,0,234,3.1283,1.9063,2.4805,6,-11.2188,240.7837,1.1833,125.6566,-127,5.5613,40.0599,0,15.7717,3.0196,0.4511,41.382,15.7072,58,26,50,546,20,324,1.4219,3.8125,1.25,0.0,,75.0156,2.4844,0.9531,7.7188,410.2173,606.7505,,0.8125,-3.2969,21.0938,70.9063
11043.0,12,1.633,124.2236,1.625,610,0,235,3.5889,2.5938,2.4805,9,-9.1875,232.1167,1.1672,126.294,-127,5.5613,51.2507,0,16.082,3.0343,0.525,43.9684,16.9441,80,8,38,564,20,314,0.9258,2.75,0.75,0.0,,79.1094,1.0,1.5938,7.5156,410.4004,586.4868,,0.8125,-14.6406,13.2656,74.9844
12009.0,13,1.6369,120.9677,1.625,618,0,235,2.8229,2.1172,1.8672,11,-7.25,294.3726,1.2104,124.5968,-122,5.1344,24.5944,0,15.8738,3.0513,0.446,41.46,15.7445,54,14,22,582,20,332,1.707,2.25,1.0,0.0,,77.2813,2.7031,0.9688,6.3594,414.1235,557.1899,,0.8125,-14.2344,8.4844,73.4531
13001.0,14,1.6369,120.603,1.625,620,0,235,3.5258,2.6094,2.3711,9,-8.8125,258.9722,1.2097,124.6231,-123,5.2184,24.5501,0,15.8226,3.0533,0.4409,41.2644,15.651,57,8,34,578,20,327,1.3984,2.75,0.3125,0.0,,81.2188,0.0,1.9688,5.1563,397.7661,569.0918,,0.8125,-7.1719,11.0,76.9844
13996.0,15,1.6369,117.8782,1.625,640,0,235,2.3261,1.9336,1.293,9,-9.5469,254.0894,1.1813,125.7367,-131,5.9147,32.0533,0,15.3281,3.0747,0.3749,38.8736,14.5077,28,17,27,596,20,336,1.793,2.4375,0.6875,0.0,,81.4375,1.8438,0.2344,3.75,396.0571,549.1333,,0.8125,-15.2656,11.7344,77.5781
15014.0,16,1.633,118.8119,1.625,662,0,235,1.802,0.4453,1.7461,5,-9.9063,238.0371,1.0514,131.0891,-157,8.4637,0,0,14.8187,3.0902,0.4162,39.6655,14.8864,24,32,48,582,20,318,0.4102,2.625,0.75,0.0,,75.5,4.0781,2.6406,10.0469,361.084,565.4297,,0.8125,-4.8594,22.5313,70.75
16024.0,17,1.633,118.8119,1.625,606,0,235,4.6238,2.7266,3.7344,6,-8.9531,183.5938,1.3333,120.0,-101,3.5239,11.9778,0,16.1881,3.0303,0.3774,39.6328,14.8707,66,18,70,518,20,332,2.0781,5.375,1.3125,0.0,,69.6719,-2.8281,2.0938,8.125,364.9902,584.2285,,0.8125,5.1563,18.7344,64.5
17034.0,18,1.629,120.2405,1.625,624,0,234,4.1267,2.7266,3.0977,12,-4.3906,192.1997,1.1987,125.0501,-125,5.3885,29.0458,0,15.7212,3.0395,0.4284,40.7305,15.3957,56,16,16,592,20,324,0.4219,4.4375,1.5,0.0,,89.1406,1.3281,0.9063,5.875,339.3555,559.6313,,0.8125,-14.4844,5.7188,84.2031
18032.0,19,1.625,119.7605,1.625,632,0,234,3.5008,2.1055,2.7969,8,-9.9063,274.353,1.1709,126.1477,-131,5.9147,46.369,0,15.5222,3.0388,0.4198,40.2725,15.1767,42,18,32,582,20,330,1.2578,3.6875,1.625,0.0,,85.8438,3.25,1.2813,8.5469,451.0498,558.1665,,0.8125,-12.375,14.125,80.0469
19034.0,20,1.621,121.7039,1.625,626,0,234,3.7232,2.7695,2.4883,8,-8.6406,233.5815,1.1502,126.9777,-133,6.0953,102.5753,0,15.6709,3.0236,0.4677,41.7961,15.9052,60,26,22,578,20,318,2.7266,4.9375,1.8125,0.0,,81.9375,2.9688,1.5938,5.625,471.6797,562.7441,,0.8125,-12.9063,14.375,76.625
20020.0,21,1.625,122.9508,1.625,618,0,234,3.3723,3.0469,1.4453,8,-9.6094,301.3916,1.1586,126.6393,-130,5.8253,70.4661,0,15.8738,3.0245,0.4958,42.8467,16.4076,70,22,20,576,20,316,1.7031,2.75,0.6875,0.0,,86.3281,2.9688,3.5625,9.6094,455.2612,583.1909,,0.8125,-4.2656,13.9219,82.2188
20996.0,22,1.625,120.4819,1.625,636,0,234,3.7824,2.9961,2.3086,6,-12.4688,279.0527,1.1321,127.7108,-138,6.5583,388.6807,0,15.4245,3.043,0.4431,40.8888,15.4714,52,26,48,562,20,316,1.043,3.8125,1.3125,0.0,,77.1094,3.0781,1.3281,7.7188,425.415,580.3833,,0.8125,-6.4375,20.7969,71.5938
21992.0,23,1.629,120.9677,1.625,626,0,234,3.1585,2.8281,1.4063,9,-9.0313,264.5874,1.1693,126.2097,-130,5.8253,47.0646,0,15.6709,3.0416,0.45,41.3367,15.6856,56,4,38,584,20,322,1.4219,2.875,0.625,0.0,,83.7188,1.0313,1.2031,5.3906,415.2832,586.4868,,0.8125,-6.5938,11.8125,79.1563
22984.0,24,1.633,120.9677,1.625,623,0,235,3.0179,2.0625,2.2031,10,-9.1094,280.3955,1.1846,125.6048,-127,5.5613,34.4406,0,15.7464,3.0475,0.4488,41.4006,15.7161,60,5,39,579,20,321,1.9141,3.125,0.375,0.0,,84.5,0.625,2.4219,8.6719,430.603,598.999,,0.8125,-4.4063,10.6563,79.3906
23976.0,25,1.633,118.6944,1.625,642,0,235,2.7719,2.2109,1.6719,9,-9.3906,246.0327,1.1495,127.003,-137,6.4644,68.7852,0,15.2804,3.0677,0.4022,39.6178,14.8636,36,8,38,596,20,326,1.2383,3.1875,0.4375,0.0,,83.9844,1.4531,1.5469,4.7969,444.2139,592.7734,,0.8125,-12.9531,12.7969,78.875
24987.0,26,1.629,118.8119,1.625,642,0,234,3.1528,2.4531,1.9805,9,-6.5625,205.4443,1.1464,127.1287,-137,6.4644,85.447,0,15.2804,3.0585,0.4011,39.5486,14.8305,40,22,20,600,20,322,1.1172,3.0,0.5,0.0,,87.9844,2.3906,1.8438,4.2813,370.3613,596.1914,,0.8125,-5.2656,11.25,82.6406
25997.0,27,1.633,122.1996,1.625,614,0,235,3.9803,3.2617,2.2813,7,-11.1563,249.2065,1.1987,125.0509,-123,5.2184,29.4976,0,15.9772,3.0383,0.4749,42.3762,16.1826,68,8,62,544,20,322,1.8086,3.25,0.375,0.0,,76.7344,1.2031,2.3594,6.5781,395.752,562.1948,,0.8125,-9.6875,18.4219,72.625
26979.0,28,1.633,120.0,1.625,632,0,235,3.1786,2.1641,2.3281,9,-7.8125,212.4634,1.1646,126.4,-132,6.0047,47.9346,0,15.5222,3.0569,0.4288,40.6153,15.3406,50,28,18,586,28,314,0.2969,3.0625,0.875,0.0,,84.6406,2.2188,2.0938,7.375,367.7979,577.3315,,0.8125,-11.7031,11.8594,75.75
27979.0,29,1.633,123.4568,1.625,616,0,235,2.9033,2.9023,0.0742,6,-11.1094,274.231,1.1558,126.749,-130,5.8253,66.886,0,15.9253,3.0403,0.5102,43.3939,16.6693,72,16,54,546,20,316,0.0195,2.9375,0.875,0.0,,76.6094,2.4063,0.8906,4.9375,397.8882,594.3604,,0.8125,-1.5,20.0469,72.1875
28951.0,30,1.625,114.9425,1.625,656,0,234,3.4594,2.7656,2.0781,6,-9.125,205.1392,1.1829,125.6705,-134,6.1866,32.4312,0,14.9543,3.0647,0.2943,36.0418,13.1535,8,24,50,582,20,340,0.1563,3.5625,0.8125,0.0,,69.2344,3.4063,0.8438,5.8125,347.7173,530.8838,,0.8125,-13.4063,18.8906,64.75
29995.0,31,1.621,119.0476,1.625,646,0,234,2.5848,0.4414,2.5469,8,-9.5625,317.8711,1.1207,128.1746,-142,6.9403,0,0,15.1858,3.0445,0.4085,39.6193,14.8643,30,18,32,596,20,328,0.5898,2.25,0.8125,0.0,,85.0469,4.3594,2.2344,8.9063,403.9307,569.2749,,0.8125,-7.0156,13.4219,80.4219
31003.0,32,1.6171,119.403,1.625,635,0,212,4.0702,2.7422,3.0078,10,-4.1406,241.8823,1.1654,126.3682,-133,6.0953,59.2059,0,15.4488,3.0238,0.4131,39.9364,15.0159,47,2,38,595,28,314,0.8789,2.25,0.125,0.0,-45.5,96.7188,3.2031,0.9844,11.5156,373.23,578.9185,30.0,0.8125,-5.2656,10.2344,87.1875
32008.0,33,1.621,120.0,1.625,631,0,203,3.0921,1.6953,2.5859,9,-7.8594,247.9858,1.1696,126.2,-131,5.9147,50.8754,0,15.5468,3.0287,0.4247,40.4013,15.2382,43,8,35,588,20,330,0.5859,1.8125,0.5625,0.0,-45.5,85.2344,1.375,0.7188,4.75,377.9907,580.3223,30.0,0.8125,-9.8594,11.4375,79.8594
33008.0,34,1.621,119.7605,1.625,634,0,190,3.6261,2.3359,2.7734,9,-5.8281,178.7109,1.1609,126.5469,-133,6.0953,63.4363,0,15.4732,3.0318,0.4202,40.2056,15.1447,42,28,18,588,20,328,0.4375,3.5,0.3125,0.0,-45.5,84.8906,1.875,2.2969,6.75,358.6426,587.1582,30.0,0.8125,3.3906,12.4531,80.5781
34010.0,35,1.6131,116.9591,1.625,652,0,181,3.0617,1.6992,2.5469,7,-10.9844,223.877,1.1472,127.0955,-139,6.6528,124.4543,0,15.046,3.0326,0.3496,37.6649,13.9297,20,8,64,580,20,332,0.4258,2.3125,0.5625,0.0,-45.5,76.3438,-0.0781,1.4063,2.2813,348.999,558.2275,30.0,0.8125,-14.5625,17.375,71.9531
35036.0,36,1.6051,116.0542,1.625,674,0,167,2.2374,1.0703,1.9648,6,-9.0469,229.7974,1.0682,130.3675,-157,8.4637,0,0,14.5549,3.0382,0.3333,36.7055,13.4709,0,18,58,598,20,330,0.0859,2.375,0.8125,0.0,-45.5,75.5781,4.9844,1.5469,6.5625,352.1729,548.584,30.0,0.8125,-6.3438,21.2969,70.8438
36070.0,37,1.5972,119.2843,1.625,624,0,156,3.7494,2.8047,2.4883,7,-6.9844,148.1934,1.2244,124.0557,-121,5.051,26.9878,0,15.7212,2.9681,0.3933,39.3922,14.7557,58,18,56,550,20,322,0.9219,5.1875,1.3125,0.0,-45.25,72.0469,0.75,0.4531,3.2188,325.3174,575.6226,29.5,0.8125,-1.4844,17.3594,66.5469
37076.0,38,1.6051,119.2843,1.625,626,0,140,2.2683,1.5664,1.6406,6,-8.875,183.5327,1.2141,124.4533,-123,5.2184,28.5715,0,15.6709,2.9879,0.3968,39.5269,14.8201,54,22,54,550,20,324,1.6211,4.625,1.1875,0.0,-45.5,75.0469,0.875,-0.1563,3.9531,362.4878,583.8623,29.5,0.8125,-1.4844,18.875,70.6406
38082.0,39,1.6091,120.4819,1.625,630,0,128,2.9026,1.7695,2.3008,7,-11.0313,228.2104,1.1619,126.506,-132,6.0047,80.765,0,15.5714,3.0007,0.4337,40.5867,15.3269,56,16,60,554,20,318,0.3477,3.1875,1.5625,0.0,-45.25,75.1875,2.0938,2.8438,8.0469,337.0361,581.4209,29.5,0.8125,-8.25,18.0938,71.25
39078.0,40,1.6051,118.2266,1.625,646,0,136,2.6648,1.2461,2.3555,9,-6.0,221.0083,1.1424,127.2906,-139,6.6528,397.4162,0,15.1858,3.008,0.384,38.7371,14.4424,35,30,18,598,20,323,0.4258,3.0,0.6875,0.0,-45.25,82.8438,4.3438,1.5156,7.0,334.5947,570.8618,29.5,0.8125,-9.1406,11.9375,77.8281
40093.0,41,1.6091,121.2121,1.625,609,0,132,3.5344,2.9961,1.875,7,-9.8125,179.6265,1.2512,123.0303,-114,4.486,20.6273,0,16.1084,2.9804,0.4372,41.1459,15.5943,73,16,56,537,20,322,1.5078,4.1875,1.8125,0.0,-45.25,77.5469,2.4063,2.9063,7.5625,336.853,569.397,29.5,0.8125,-11.0,16.7344,73.2188
41083.0,42,1.6091,120.9677,1.625,616,0,136,2.7295,1.9688,1.8906,7,-8.1719,193.4204,1.2208,124.1935,-120,4.9683,26.785,0,15.9253,2.987,0.4362,40.9587,15.5048,68,8,68,540,20,320,1.5664,2.875,0.5625,0.0,-45.25,74.8906,1.2813,1.9219,7.4375,325.3784,549.0723,29.5,0.8125,-13.4219,16.2344,70.6094
42075.0,43,1.6171,120.7243,1.625,608,0,130,4.4636,3.6016,2.6367,7,-9.0313,206.665,1.2697,122.334,-111,4.2538,17.4268,0,16.1349,2.997,0.4259,40.8985,15.476,66,26,44,538,20,330,2.7656,4.5,1.4375,0.0,-45.25,76.5156,1.9688,5.8125,11.75,411.6211,559.5703,29.5,0.8125,-6.4219,16.8281,72.1406
43069.0,44,1.621,118.5771,1.625,622,0,132,3.7799,2.6016,2.7422,6,-8.6406,172.7905,1.254,122.9249,-116,4.6441,18.045,0,15.7717,3.0196,0.3788,39.2136,14.6703,46,26,60,536,20,336,2.2383,5.0,1.6875,0.0,-45.25,70.7188,1.9063,4.1719,9.9063,348.0835,558.8989,29.5,0.8125,-14.5625,20.1719,65.8594
44081.0,45,1.6171,116.0542,1.625,664,0,124,1.7102,1.5313,0.7617,9,-8.6563,308.4106,1.1145,128.4333,-147,7.4323,0,0,14.7741,3.055,0.3305,36.9082,13.5678,6,18,28,618,20,334,0.7031,2.375,0.6875,0.0,-45.25,83.3594,4.0469,4.4844,11.4844,409.79,559.7534,29.5,0.8125,2.6406,12.375,79.2656
45115.0,46,1.621,122.9508,1.625,602,0,128,3.8293,2.4844,2.9141,5,-6.4219,103.1494,1.2425,123.3607,-114,4.486,21.4497,0,16.2957,3.0001,0.4805,42.7111,16.3428,84,28,64,510,20,318,2.0156,3.875,0.6875,0.0,-45.25,69.5313,-0.7344,1.6875,0.9219,383.9111,565.5518,29.5,0.8125,-10.5469,21.9375,64.8125
46091.0,47,1.6171,117.4168,1.625,642,0,127,3.7352,2.5859,2.6953,10,-4.5469,131.8359,1.1838,125.636,-131,5.9147,37.3698,0,15.2804,3.0311,0.3578,38.1403,14.157,32,2,40,600,20,330,1.1328,1.5,0.4375,0.0,-45.25,84.2813,-0.1875,1.6563,3.4219,334.1675,589.8438,29.5,0.8125,-10.375,9.4531,79.9375
47113.0,48,1.621,120.4819,1.625,622,0,128,3.8762,2.4688,2.9883,10,-8.7344,282.1655,1.2026,124.8996,-124,5.3032,29.7409,0,15.7717,3.0196,0.4312,40.7853,15.4219,54,8,28,586,20,328,1.207,3.125,0.5,0.0,-45.25,88.2188,-0.9844,-9.6563,-10.1719,461.853,634.0332,29.5,0.8125,-8.2188,8.5781,84.0625
48109.0,49,1.6131,117.4168,1.625,636,0,137,3.4482,3.2227,1.2266,11,-2.1719,146.9727,1.2138,124.4618,-125,5.3885,25.7887,0,15.4245,3.0158,0.3532,38.0836,14.1299,22,8,22,606,20,346,0.3125,3.4375,1.25,0.0,-45.0,86.3906,1.5938,1.9375,8.2813,326.4771,576.7212,29.5,0.8125,-10.2031,6.625,82.9219
49131.0,50,1.6051,116.6181,1.625,643,0,127,3.4883,3.4883,0.0,11,-7.2344,300.7813,1.2006,124.9757,-129,5.7367,31.7712,0,15.2566,3.0049,0.3358,37.3516,13.7799,17,5,25,613,20,344,0.2773,3.6875,0.75,0.0,-45.25,79.0313,0.2031,10.0313,13.2188,433.0444,485.2295,29.5,0.8125,-24.2969,7.9844,75.2813
